"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","<U+041D><U+0443> <U+0447><U+0442><U+043E>, <U+0441><U+0435><U+0433><U+043E><U+0434><U+043D><U+044F> <U+043F><U+043E><U+0441><U+043B><U+0435><U+0434><U+043D><U+0438><U+0439> <U+0434><U+0435><U+043D><U+044C> #<U+0447><U+043C>2018<U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F> #fifa2018<ed><U+00A0><U+00BC><ed><U+00BF><U+0086> , <U+0443><U+0436><U+0435> <U+0441><U+0435><U+0433><U+043E><U+0434><U+043D><U+044F> <U+0432><U+0441><U+0435> <U+0443><U+0437><U+043D><U+0430><U+044E><U+0442> <U+0441><U+0442><U+0440><U+0430><U+043D><U+0443> <U+043F><U+043E><U+0431><U+0435><U+0434><U+0438><U+0442><U+0435><U+043B><U+044F> <ed><U+00A0><U+00BC><ed><U+00B7><U+00AD><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> <U+0438><U+043B><U+0438> <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> ... <U+0441><U+0435>… https://t.co/uMoxZRU8CG",FALSE,0,NA,2018-07-15 23:51:53,TRUE,NA,"1018644349825974272",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ValentynSmirnov",0,FALSE,FALSE,"37.5587516","55.7184026"
"2","FINAL                                                             <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00B7><U+00AD><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> en FIFA World Cup 2018 Russia https://t.co/0wPGf8PM1l",FALSE,0,NA,2018-07-15 23:43:58,FALSE,NA,"1018642360392089607",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","bautyrio",0,FALSE,FALSE,"37.5587516","55.7184026"
"3","<U+041F><U+043E><U+0447><U+0435><U+043C><U+0443> <U+0432><U+0441><U+0435> <U+0437><U+0434><U+0430><U+043D><U+0438><U+044F> <U+043D><U+0435> <U+043C><U+043E><U+0433><U+0443><U+0442> <U+0431><U+044B><U+0442><U+044C> <U+0442><U+0430><U+043A><U+0438><U+043C><U+0438> <U+0436><U+0435> <U+043A><U+0440><U+0430><U+0441><U+0438><U+0432><U+044B><U+043C><U+0438>? @ Russian Academy of Sciences https://t.co/v6b6Hc0Yqb",FALSE,0,NA,2018-07-15 21:29:38,FALSE,NA,"1018608550904586241",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","supervenca",0,FALSE,FALSE,"37.57781389","55.71079444"
"4","#Repost from @akrameb 

4/2....la France THATS IT <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> emmanuelmacron #equipedefrance france thank you <U+5834><U+6240>:… https://t.co/21ekOVdt7N",FALSE,0,NA,2018-07-15 21:09:49,TRUE,NA,"1018603567886884864",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","chainy551",0,FALSE,FALSE,"37.59184","55.73622"
"5","<U+042D><U+0442><U+043E> <U+043A><U+043E><U+0433><U+0434><U+0430> <U+0432><U+0435><U+0440><U+043D><U+0443><U+043B><U+0441><U+044F> <U+0438><U+0437> #france <U+0431><U+043E><U+043B><U+0435><U+0442><U+044C> <U+0437><U+0430> antogriezmann <U+0432> <U+041C><U+043E><U+0441><U+043A><U+0432><U+0435> <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3> <U+0421><U+043A><U+043E><U+043B><U+044C><U+043A><U+043E> <U+0441><U+043B><U+0435><U+0437>, <U+043A><U+0440><U+0438><U+043A><U+043E><U+0432>, <U+044D><U+043C><U+043E><U+0446><U+0438><U+0439> <U+043D><U+0430><U+043C> <U+0434><U+043E><U+0441><U+0442><U+0430><U+0432><U+0438><U+043B>… https://t.co/koWaWvjjkP",FALSE,0,NA,2018-07-15 20:50:57,TRUE,NA,"1018598815949991936",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AlinaZolotaya",0,FALSE,FALSE,"37.5587516","55.7184026"
"6","Non! Rien de rien ... <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> https://t.co/e7gUXASjFq",FALSE,1,NA,2018-07-15 20:49:50,FALSE,NA,"1018598535342837762",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AndrewBurtsev",0,FALSE,FALSE,NA,NA
"7","<ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BD><ed><U+00B2><U+009A> @ FIFA World Cup 2018 Russia https://t.co/PB860al095",FALSE,0,NA,2018-07-15 20:49:10,FALSE,NA,"1018598369068048384",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ilonaaashushhh",0,FALSE,FALSE,"37.5587516","55.7184026"
"8","<U+041B><U+0435><U+0442> 7 <U+043D><U+0430><U+0437><U+0430><U+0434> <U+043C><U+044B> <U+0441> <U+0440><U+043E><U+0434><U+0438><U+0442><U+0435><U+043B><U+044F><U+043C><U+0438> <U+043A><U+0430><U+0442><U+0430><U+043B><U+0438><U+0441><U+044C> <U+043D><U+0430> <U+0432><U+0435><U+043B><U+043E><U+0441><U+0438><U+043F><U+0435><U+0434><U+0430><U+0445> <U+043F><U+043E> <U+0412><U+043E><U+0440><U+043E><U+0431><U+044C><U+0435><U+0432><U+044B><U+043C> <U+0433><U+043E><U+0440><U+0430><U+043C>, <U+041D><U+0435><U+0441><U+043A><U+0443><U+0447><U+043D><U+043E><U+043C><U+0443> <U+0441><U+0430><U+0434><U+0443>, <U+041F><U+0430><U+0440><U+043A><U+0443> <U+0413><U+043E><U+0440><U+044C><U+043A><U+043E><U+0433><U+043E> <U+0438> <U+0440><U+0435><U+0448><U+0438><U+043B><U+0438> <U+0441>… https://t.co/UP6kxSC0lX",FALSE,0,NA,2018-07-15 20:18:20,TRUE,NA,"1018590609517563904",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Annie_Hurricane",0,FALSE,FALSE,"37.59268137","55.7241084"
"9","<U+0411><U+044B><U+043B><U+043E> <U+043E><U+0447><U+0435><U+043D><U+044C> <U+043A><U+0440><U+0443><U+0442><U+043E> <U+043F><U+043E><U+0441><U+043B><U+0443><U+0448><U+0430><U+0442><U+044C> <U+0438> <U+043B><U+0438><U+0447><U+043D><U+043E> <U+0443><U+0432><U+0438><U+0434><U+0435><U+0442><U+044C> <U+041A><U+0438><U+0440><U+0438><U+043B><U+043B><U+0430> :) https://t.co/1PzR6c7dbf",FALSE,17,NA,2018-07-15 19:34:38,FALSE,NA,"1018579612505436167",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnjelaThatGurl",0,FALSE,FALSE,NA,NA
"10","<U+062E><U+0644><U+0627><U+0635><U+0629> <U+0645><U+0648><U+0646><U+062F><U+064A><U+0627><U+0644> <U+0631><U+0648><U+0633><U+064A><U+0627> <U+0662><U+0660><U+0661><U+0668> - <U+062A><U+0646><U+0638><U+064A><U+0645> <U+0645><U+0628><U+0647><U+0631><U+060C> <U+0627><U+0644><U+0634><U+0639><U+0628> <U+0627><U+0644><U+0631><U+0648><U+0633><U+064A> <U+0645><U+062B><U+0642><U+0641> <U+0648><U+0631><U+0627><U+0642><U+064A> <U+0648><U+0645><U+0636><U+064A><U+0627><U+0641> <U+060C> <U+0643><U+0623><U+0633> <U+0627><U+0644><U+0639><U+0627><U+0644><U+0645> <U+0643><U+0627><U+0646><U+062A> <U+0641><U+0631><U+0635><U+0629> <U+0644><U+0631><U+0648><U+0633><U+064A><U+0627> <U+0644><U+062A><U+0639><U+0628><U+0631> <U+0639><U+0646> <U+0646><U+0641><U+0633><U+0647><U+0627>… https://t.co/10VgySGpRV",FALSE,5,NA,2018-07-15 19:28:07,TRUE,NA,"1018577971098112001",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aabuhamar",3,FALSE,FALSE,"37.60066667","55.73368"
"11","Sleepy Hollow <ed><U+00A0><U+00BC><ed><U+00BC><U+00AB> <U+041F><U+0435><U+0440><U+0432><U+044B><U+0439> <U+0440><U+0430><U+0437> <U+043D><U+0430><U+0431><U+043B><U+044E><U+0434><U+0430><U+043B> <U+0432> <U+041C><U+043E><U+0441><U+043A><U+0432><U+0435> <U+0442><U+0430><U+043A><U+043E><U+0439> <U+0441><U+0438><U+043B><U+044C><U+043D><U+044B><U+0439> <U+0438> <U+0430><U+0431><U+0441><U+043E><U+043B><U+044E><U+0442><U+043D><U+043E> <U+043A><U+0438><U+043D><U+043E><U+0448><U+043D><U+044B><U+0439> <U+0442><U+0443><U+043C><U+0430><U+043D> @ Neskuchny Garden https://t.co/JaYmXBfYk0",FALSE,0,NA,2018-07-15 19:24:18,FALSE,NA,"1018577010501804032",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Ualeron",0,FALSE,FALSE,"37.58805556","55.71611111"
"12","<U+0427><U+0435><U+043C><U+043F><U+0438><U+043E><U+043D><U+0430><U+0442> <U+043C><U+0438><U+0440><U+0430> <U+0437><U+0430><U+043A><U+043E><U+043D><U+0447><U+0438><U+043B><U+0441><U+044F>. <U+0411><U+044B><U+043B> <U+043E><U+0442><U+043B><U+0438><U+0447><U+043D><U+044B><U+0439> <U+043F><U+0440><U+0430><U+0437><U+0434><U+043D><U+0438><U+043A> <U+0444><U+0443><U+0442><U+0431><U+043E><U+043B><U+0430>, <U+043A><U+043E><U+0442><U+043E><U+0440><U+044B><U+0439> <U+0437><U+0430><U+043F><U+043E><U+043C><U+043D><U+0438><U+0442><U+044C><U+0441><U+044F> <U+0432><U+0441><U+0435><U+043C> <U+043D><U+0430><U+0434><U+043E><U+043B><U+0433><U+043E>. <U+041E><U+0441><U+043E><U+0431><U+0435><U+043D><U+043D><U+043E> <U+0441><U+0438><U+043B><U+044C><U+043D><U+043E> <U+0435><U+0433><U+043E> <U+0431><U+0443><U+0434>… https://t.co/yYQ7BYK2nw",FALSE,0,NA,2018-07-15 19:00:39,TRUE,NA,"1018571061468770304",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","writer_of_Rodia",0,FALSE,FALSE,"37.60380288","55.73160209"
"13","<U+0434><U+0430><U+0436><U+0435> <U+043D><U+0435> <U+0432><U+0435><U+0440><U+0438><U+0442><U+0441><U+044F>, <U+0447><U+0442><U+043E> <U+0437><U+0430><U+043A><U+043E><U+043D><U+0447><U+0438><U+043B><U+0441><U+044F> <U+044D><U+0442><U+043E><U+0442> <U+043F><U+043E><U+0442><U+0440><U+044F><U+0441><U+0430><U+044E><U+0449><U+0438><U+0439> <U+043C><U+0435><U+0441><U+044F><U+0446> <U+0444><U+0443><U+0442><U+0431><U+043E><U+043B><U+0430> <U+2764><U+FE0F>
<ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA> <U+26BD><U+FE0F> <ed><U+00A0><U+00BC><ed><U+00BF><U+0086> 
#fifaworldcup2018 @ FIFA World Cup 2018… https://t.co/0x6qBEfztD",FALSE,0,NA,2018-07-15 19:00:36,TRUE,NA,"1018571045794611202",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","sveta_lebedeva",0,FALSE,FALSE,"37.5587516","55.7184026"
