"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1",1,"light intensity shower rain -&gt; clear sky
temperature down 22°C -&gt; 19°C
humidity down 94% -&gt; 88%
wind 4kmh -&gt; 3kmh",FALSE,0,NA,"2018-07-15 23:53:04",FALSE,NA,1018644649160761344,NA,"<a href=""http://twitter.com/WorldCities/cities"" rel=""nofollow"">World Cities</a>","MoscowRU",0,FALSE,FALSE,37.61,55.74
"4",4,"This is world cup and we won’t stop <U+270C><U+FE0F>#NM99 @ FIFA World Cup 2018 https://t.co/TCknOYn5UR",FALSE,0,NA,"2018-07-15 23:40:58",FALSE,NA,1018641605153230848,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","NMazepin",0,FALSE,FALSE,37.55386591,55.71565318
"5",5,"Fiers d’être bleu <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
Merci l’equipedefrance <U+26BD><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BF><U+0086>
Rendez-vous dans quelques heures sur les Champs-Élysées maintenant… https://t.co/U81DEAe1Fg",FALSE,0,NA,"2018-07-15 23:36:43",TRUE,NA,1018640532803706880,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Decaudin_T",0,FALSE,FALSE,37.55361111,55.71583333
"6",6,"Amazing. Grateful I was able to go to the World Cup Final, and with no better person than with my dad. Crazy how on… https://t.co/aBnjTZ2Yy5",FALSE,23,NA,"2018-07-15 23:31:20",TRUE,NA,1.018639179474e+18,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","farevalo16",3,FALSE,FALSE,37.55386591,55.71565318
"9",9,"#worldcup #final <U+2714><U+FE0F> @ Luzhniki Stadium https://t.co/QNw6VQqZSU",FALSE,0,NA,"2018-07-15 22:53:55",FALSE,NA,1018629761566851072,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LaMavy",0,FALSE,FALSE,37.55361111,55.71583333
"10",10,"World champions !

#worldcup2018 #france #hernandez #griezmann #stadium #russia #cup #football #instagram… https://t.co/uWmAZzUpn4",FALSE,1,NA,"2018-07-15 22:53:14",TRUE,NA,1018629593081765888,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Esporiom",0,FALSE,FALSE,37.55361111,55.71583333
"11",11,"S P E E C H L E S S | All I can say is I’m thankful &amp; forever grateful for this day: July 15th, 2018... I’m blessed… https://t.co/HcJMYysL1X",FALSE,2,NA,"2018-07-15 22:51:46",TRUE,NA,1018629221797617664,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","danielleerodas",0,FALSE,FALSE,37.55386591,55.71565318
"13",13,"Por este tipo de cosas es cuando digo que todo valió la pena!!! Gracias a ti @taniarin te quiero más!! <ed><U+00A0><U+00BD><ed><U+00B2><U+0097>
#Repost… https://t.co/qRj483tQtK",FALSE,0,NA,"2018-07-15 22:46:40",TRUE,NA,1018627937229201408,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","yOus_k",0,FALSE,FALSE,37.55361111,55.71583333
"15",15,"#gol <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7>2-1 <ed><U+00A0><U+00BC><ed><U+00B7><U+00AD><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7>#worldcup2018 <ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA> en FIFA World Cup 2018 https://t.co/YGuRxtfRIo",FALSE,0,NA,"2018-07-15 22:41:50",FALSE,NA,1018626722412064768,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ROOOARNAIZ",0,FALSE,FALSE,37.55386591,55.71565318
"16",16,"Final de Copa do Mundo. Obrigado, obrigado e obrigado! 15.07.2018 #worldcup #russia2018 em Luzhniki Stadium https://t.co/Fm5ZgCkhH8",FALSE,34,NA,"2018-07-15 22:34:12",FALSE,NA,1018624802679132160,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Marcelo_Hazan",1,FALSE,FALSE,37.55361111,55.71583333
"17",17,"Se acabó este juego...
#Rusia2018 en Luzhniki Stadium https://t.co/ZyRy4JyHje",FALSE,12,NA,"2018-07-15 22:24:21",FALSE,NA,1018622321895137280,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","daniarcucci",0,FALSE,FALSE,37.55361111,55.71583333
"18",18,"<ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7>v<ed><U+00A0><U+00BC><ed><U+00B7><U+00AD><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> (@ Luzhniki Stadium for France vs Croatia in <U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>) https://t.co/9GxwGiI8tT https://t.co/pkp2xnDcqT",FALSE,0,NA,"2018-07-15 22:20:32",FALSE,NA,1018621364155174912,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","JulioGil",0,FALSE,FALSE,37.55372107,55.71570937
"19",19,"Le jour de gloire !!!! <U+2B50><U+FE0F><U+2B50><U+FE0F><ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> https://t.co/mQ9f3TjTiO",FALSE,5,NA,"2018-07-15 22:10:01",FALSE,NA,1018618717176041472,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","quentinpuyf",2,FALSE,FALSE,NA,NA
"21",21,"Finaliza el mundial y nos quedamos con la pelota!! <U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F>
Francia campeón <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+0086>

#instagram #instagood #instadaily… https://t.co/ez5U2uXjgl",FALSE,0,NA,"2018-07-15 22:06:47",TRUE,NA,1018617903212613632,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mcruces97",0,FALSE,FALSE,37.55361111,55.71583333
"23",23,"My dream team <U+2764><U+FE0F> #russia2018#moscow#fifa2018#wc2018#volunteers#dreamteam#football#fun#theend#love#thankyou#happines… https://t.co/Vs9mstH0Qf",FALSE,1,NA,"2018-07-15 21:50:46",TRUE,NA,1018613870720675840,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","PoliyA555",0,FALSE,FALSE,37.55361111,55.71583333
"26",26,"Mouillé, moche mais CHAMPION DU MONDE <ed><U+00A0><U+00BC><ed><U+00BF><U+0086> à Luzhniki Stadium https://t.co/MxsttLQ5tp",FALSE,1,NA,"2018-07-15 21:43:12",FALSE,NA,1018611967647367168,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Nicolas_Davila",0,FALSE,FALSE,37.55361111,55.71583333
"34",34,"Y llegó el día que soñaste toda tu vida. La final de @FIFAWWC <ed><U+00A0><U+00BC><ed><U+00BF><U+0086> 

#Francia<ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> #Croacia<ed><U+00A0><U+00BC><ed><U+00B7><U+00AD><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> #periodismodeportivo… https://t.co/X71ZAnbabQ",FALSE,1,NA,"2018-07-15 21:32:52",TRUE,NA,1018609368433070080,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","favelarde",0,FALSE,FALSE,37.55361111,55.71583333
"42",42,"La última: ya con el estadio casi vacío, solo quedaban los franceses celebrando su segunda estrella. ¡Gracias Rusia… https://t.co/eOZJvXrV14",FALSE,0,NA,"2018-07-15 21:18:55",TRUE,NA,1018605856156520448,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","caot89",0,FALSE,FALSE,37.55361111,55.71583333
"43",43,"Pertama kali nonton bola langsung di Stadion Luzhniki, Moscow. Final Piala Dunia 2018 antara Prancis vs Kroasia <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
E… https://t.co/XNuGqTzuif",FALSE,4,NA,"2018-07-15 21:18:44",TRUE,NA,1018605808735653888,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","niken_paramita",0,FALSE,FALSE,37.55361111,55.71583333
"44",44,"#WorldCupFinal - #FiersdetreBleus France 4 vs #FlamingPride Croatia 2 Goals: Mandžukic (own goal + 1), Perišic, Gri… https://t.co/KUF3kiS37a",FALSE,0,NA,"2018-07-15 21:17:38",TRUE,NA,1018605534205837312,NA,"<a href=""http://www.football-lineups.com"" rel=""nofollow"">FL</a>","FootballLineups",1,FALSE,FALSE,37.55353333,55.71568333
"45",45,"#Croacia #England https://t.co/zjtFoIS8Lw",FALSE,1,NA,"2018-07-15 21:13:37",FALSE,NA,1018604521512108032,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cav1611",0,FALSE,FALSE,NA,NA
"46",46,"Gran equipo Croacia aplausos ! Millones https://t.co/PQVDoWSwzG",FALSE,0,NA,"2018-07-15 21:12:47",FALSE,NA,1018604314082856960,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cav1611",0,FALSE,FALSE,NA,NA
