"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Dear @EAMaddenNFL can you please fix all of the glitching and terrible game play.... This game is aweful I wish I c… https://t.co/zK2lqS8RMP",FALSE,0,NA,2019-08-04 22:23:48,TRUE,NA,"1158141513907355648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NateStock23",0,FALSE,FALSE,NA,NA
"2","@ElijahGalicia1 Da Fuck?!",FALSE,0,"ElijahGalicia1",2019-08-04 21:23:59,FALSE,"1158124952631070724","1158126461133283328","1024056945542606848","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HardBodyBrian1",0,FALSE,FALSE,NA,NA
"3","<U+2708><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> (@ El Paso International Airport (ELP) in El Paso, TX) https://t.co/pM6Yq8mlgI",FALSE,0,NA,2019-08-04 20:37:24,FALSE,NA,"1158114737063976960",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","msayer67",0,FALSE,FALSE,"-106.39498713","31.80004552"
"4","@1stsaintinferno @Ashakinpink @aquaboogiebaby @HenriettaSnacks @pouvoir87 Folks are just spitballing",FALSE,1,"1stsaintinferno",2019-08-04 20:15:55,FALSE,"1158106259901616128","1158109330299686912","2321961973","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mister18900",0,FALSE,FALSE,NA,NA
"5","@IralynnPartida4 Oh this bitch<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,1,"IralynnPartida4",2019-08-04 19:38:38,FALSE,"1158089923498524675","1158099947419365377","998339767384313856","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lovinlala_",0,FALSE,FALSE,NA,NA
"6","I pray my baby gets my husbands genes, I want our baby to be a red head too<ed><U+00A0><U+00BE><ed><U+00B5><U+00B0> https://t.co/AgWd7vySX9",FALSE,2,NA,2019-08-04 19:37:45,FALSE,NA,"1158099724999643138",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lovinlala_",0,FALSE,FALSE,NA,NA
"7","I’d climb every mountain. Swim every ocean to be with YOU.",FALSE,1,NA,2019-08-04 19:14:23,FALSE,NA,"1158093842513629188",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BAB2532",0,FALSE,FALSE,NA,NA
"8","Yo I found a LTC patch at Bliss",FALSE,0,NA,2019-08-04 19:02:46,FALSE,NA,"1158090921399005184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Poppa_zee",0,FALSE,FALSE,NA,NA
"9","El Paso police should’ve shot dude",FALSE,0,NA,2019-08-04 16:51:29,FALSE,NA,"1158057880391524352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2ShotsofHenny",0,FALSE,FALSE,NA,NA
"10","HERO<ed><U+00A0><U+00BD><ed><U+00B2><U+0099> https://t.co/KLz8a7TSnI",FALSE,2,NA,2019-08-04 16:31:06,FALSE,NA,"1158052753266139137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lovinlala_",1,FALSE,FALSE,NA,NA
"11","Plus it’s really y’all white, mayonnaise, musty and unseasoned mfs that are tourists in your own country. But you d… https://t.co/NuPLH6DkuK",FALSE,3,NA,2019-08-04 16:21:07,TRUE,NA,"1158050240471212033",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lovinlala_",0,FALSE,FALSE,NA,NA
"12","Bitch what... flick you and the rest of the people that liked and retweeted this. Y’all are all lame and will never… https://t.co/EXbZI2u3F1",FALSE,3,NA,2019-08-04 16:16:43,TRUE,NA,"1158049133023965184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lovinlala_",0,FALSE,FALSE,NA,NA
"13","@ReLL_14k Ty<ed><U+00A0><U+00BD><ed><U+00B2><U+0099>",FALSE,1,"ReLL_14k",2019-08-04 16:08:54,FALSE,"1157864921486544896","1158047166943965189","912501850934435840","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lovinlala_",0,FALSE,FALSE,NA,NA
"14","@support_a_teach https://t.co/mFlBvMRDC7",FALSE,1,"support_a_teach",2019-08-04 12:56:01,FALSE,"1157831028960124929","1157998623797522433","1150989959865733120","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shelbykbaxter",0,FALSE,FALSE,NA,NA
"15","@quiznos @flyelp is pretty smart to offer #greenchiletogo @ El Paso International Airport (ELP) https://t.co/hD6fOSRM94",FALSE,2,"Quiznos",2019-08-04 11:03:58,FALSE,NA,"1157970426028367874","17791762","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MarcySnowTeague",0,FALSE,FALSE,"-106.3948093","31.7990349"
"16","I feel so sad , it feels so not right at all that the rain makes it feel like gods crying over El Paso tx <ed><U+00A0><U+00BD><ed><U+00B8><U+0093><ed><U+00A0><U+00BD><ed><U+00B8><U+00AA>",FALSE,2,NA,2019-08-04 06:14:04,FALSE,NA,"1157897470954766336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","keilytooforeign",0,FALSE,FALSE,NA,NA
"17","Currently https://t.co/NJpGTjjAKx",FALSE,1,NA,2019-08-04 05:01:35,FALSE,NA,"1157879231944306690",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JasonBrickner",0,FALSE,FALSE,NA,NA
"18","Lauryn got my name tatted on her titties in henna so when a guy looks at her titties they already know what the deal is",FALSE,4,NA,2019-08-04 04:28:52,FALSE,NA,"1157870995547414529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dylahn",0,FALSE,FALSE,NA,NA
"19","BOJANGLE FOR LIFE <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> https://t.co/SxtsxKi2Vf",FALSE,5,NA,2019-08-04 04:24:28,FALSE,NA,"1157869890285400065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dylahn",2,FALSE,FALSE,NA,NA
"20","Awst, Me, &amp; Ed bouta be making big moves soon <ed><U+00A0><U+00BE><ed><U+00B5><U+00B5> #v8boiis",FALSE,5,NA,2019-08-04 04:19:36,FALSE,NA,"1157868665485713408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","exclusive_diaz",1,FALSE,FALSE,NA,NA
"21","Arby’s bar and grill",FALSE,0,NA,2019-08-04 04:15:48,FALSE,NA,"1157867710191144960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JasonBrickner",0,FALSE,FALSE,NA,NA
"22","#PrayForElPaso <ed><U+00A0><U+00BD><ed><U+00B2><U+0094><ed><U+00A0><U+00BD><ed><U+00B2><U+0094> https://t.co/mq0gf5dO09",FALSE,0,NA,2019-08-04 04:09:17,FALSE,NA,"1157866068704018432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nesian2421",0,FALSE,FALSE,NA,NA
"23","#2amendment banning guns doesn't work people can still fabricate 1 or buy 1 in the black market making it harder to… https://t.co/RtpEoLTyam",FALSE,0,NA,2019-08-04 02:11:48,TRUE,NA,"1157836501159485440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dolothegreat002",0,FALSE,FALSE,NA,NA
"24","@JayLReeves5 What makes u think gun control will work u can easily fabricate your own gun <ed><U+00A0><U+00BE><ed><U+00B4><U+00A7><ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><U+200D><U+2642><U+FE0F><ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><U+200D><U+2642><U+FE0F> or buy 1 in the… https://t.co/OnIZ0AvPty",FALSE,0,"JayLReeves5",2019-08-04 02:03:12,TRUE,"1157815511188725761","1157834340375695360","1134850740457955329","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dolothegreat002",0,FALSE,FALSE,NA,NA
"25","We’re live in El Paso outside University Medical Center where @BetoORourke will be speaking in just a bit.",FALSE,30,NA,2019-08-04 01:49:44,FALSE,NA,"1157830947728846848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","matt_zdun",5,FALSE,FALSE,NA,NA
"26","Due to the unfortunate set of events we will be postponing the Borderlands #ArtistShowcase...

And would also like… https://t.co/0eUwp2FRJJ",FALSE,0,NA,2019-08-04 01:47:45,TRUE,NA,"1157830450246586368",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TheeLWill",0,FALSE,FALSE,"-106.370988","31.791872"
"27","@savagelivia https://t.co/Rs5RR5eRxm",FALSE,1,"savagelivia",2019-08-04 01:28:07,FALSE,"1157813652839424001","1157825508048084992","752610654280773633","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DCLXVI_CJ",0,FALSE,FALSE,NA,NA
"28","<ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+200D><U+2642><U+FE0F> https://t.co/XfR87Wv76e",FALSE,1,NA,2019-08-04 01:27:20,FALSE,NA,"1157825312400576512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DCLXVI_CJ",0,FALSE,FALSE,NA,NA
"29","@VfeedLIVE Bitch...... <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3>",FALSE,0,"VfeedLIVE",2019-08-04 01:27:10,FALSE,"1157806459616288768","1157825268985270272","1173232195","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DCLXVI_CJ",0,FALSE,FALSE,NA,NA
"30","This does not define us.
#ElPasoStrong",FALSE,1,NA,2019-08-04 01:06:02,FALSE,NA,"1157819952096776193",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KingJamesRC",0,FALSE,FALSE,NA,NA
"31","SO IT GOES",FALSE,0,NA,2019-08-04 00:42:10,FALSE,NA,"1157813947002605568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dylahn",0,FALSE,FALSE,NA,NA
"32","Once upon a time in Hollywood had the craziest ending I’ve ever seen <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> I love Quentin Tarantino",FALSE,1,NA,2019-08-04 00:30:47,FALSE,NA,"1157811079428239360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dylahn",0,FALSE,FALSE,NA,NA
"33","Very sad day here in El Paso. But seeing the political bullshit that has already started will keep us divided inste… https://t.co/rJioDv37Jl",FALSE,2,NA,2019-08-04 00:30:07,TRUE,NA,"1157810913111445504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Huskerslut",1,FALSE,FALSE,NA,NA
"34","I fucking love brad Pitt",FALSE,4,NA,2019-08-04 00:27:56,FALSE,NA,"1157810362655207424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dylahn",0,FALSE,FALSE,NA,NA
"35","@Rickyh180 Where did this info come from so quickly???",FALSE,0,"Rickyh180",2019-08-04 00:25:50,FALSE,"1157748178940256258","1157809835959676929","54475660","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Huskerslut",0,FALSE,FALSE,NA,NA
"36","@MekaylaStorm Congrats Mekayla! Love you!",FALSE,1,"MekaylaStorm",2019-08-04 00:20:39,FALSE,"1157768966280011776","1157808530679836673","98908514","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","giancadiaz27",0,FALSE,FALSE,NA,NA
"37","San Diego was a mood https://t.co/posfT8zwaE",FALSE,2,NA,2019-08-03 23:31:58,FALSE,NA,"1157796277679267841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarterCabral_",0,FALSE,FALSE,NA,NA
"38","I’m dying <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/xydXrC3bF3",FALSE,2,NA,2019-08-03 23:21:33,FALSE,NA,"1157793656314552320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlohaRandall",0,FALSE,FALSE,NA,NA
"39","What?! Whyyyy https://t.co/GkWIxs0Edk",FALSE,0,NA,2019-08-03 23:20:15,FALSE,NA,"1157793331486662656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlohaRandall",0,FALSE,FALSE,NA,NA
"40","Man this is crazy! Definitely not leaving the base for the rest of my stay in El Paso!",FALSE,0,NA,2019-08-03 21:45:46,FALSE,NA,"1157769552303931393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kidd_Charming93",0,FALSE,FALSE,NA,NA
"41","I’m gonna call it now. @RepEscobar and @BetoORourke are going to turn this El Paso tragedy into a political circus… https://t.co/Hq1ECKKWIt",FALSE,0,NA,2019-08-03 21:36:09,TRUE,NA,"1157767131699847171",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Huskerslut",0,FALSE,FALSE,NA,NA
"42","Shit happened like 10min from us",FALSE,0,NA,2019-08-03 21:17:57,FALSE,NA,"1157762553046609921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kidd_Charming93",0,FALSE,FALSE,NA,NA
"43","@MAL_RU100z Bitch no I’m not ok. Lol wtf do you want me to say",FALSE,0,"MAL_RU100z",2019-08-03 20:33:38,FALSE,"1157748439251165184","1157751401084116994","275104392","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VGotHeartt",0,FALSE,FALSE,NA,NA
"44","@bloodybarlos bro i-",FALSE,1,"bloodybarlos",2019-08-03 20:29:41,FALSE,"1157749640843988992","1157750406983892994","476991579","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","buddhistpriest_",0,FALSE,FALSE,NA,NA
"45","I’m seeing people say that ”the shooters are antifa or white supremacy!” Everyone’s just saying whatever tf they wa… https://t.co/67nXm2xq3B",FALSE,9,NA,2019-08-03 20:28:25,TRUE,NA,"1157750087336026112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kys3n",1,FALSE,FALSE,NA,NA
"46","El Paso police confirm ‘multiple fatalities’ in Texas mall shooting  https://t.co/Jqmtz4rIP6",FALSE,0,NA,2019-08-03 20:28:20,FALSE,NA,"1157750065953419265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarterCabral_",0,FALSE,FALSE,NA,NA
"47","The end of an Era https://t.co/5UeyB5Pdtj",FALSE,0,NA,2019-08-03 20:13:26,FALSE,NA,"1157746318489423873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlohaRandall",0,FALSE,FALSE,NA,NA
"48","I just don’t understand how these white terrorist Get put in custody after they shot and killer multiple ppl, but w… https://t.co/0kivefaYAB",FALSE,0,NA,2019-08-03 20:09:34,TRUE,NA,"1157745344425410562",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TRENding_Topicc",0,FALSE,FALSE,NA,NA
"49","If both y’all aint sweating yeen do shit https://t.co/gD64qXxH3A",FALSE,3,NA,2019-08-03 20:04:02,FALSE,NA,"1157743953145454593",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TRENding_Topicc",0,FALSE,FALSE,NA,NA
"50","@lucyirene_ @skigh4prez Ok thank u",FALSE,0,"lucyirene_",2019-08-03 20:02:08,FALSE,"1157742490042228742","1157743473665163265","413684711","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kys3n",0,FALSE,FALSE,NA,NA
"51","@skigh4prez There are multiple shooters tho you sure he isn’t one?",FALSE,0,"skigh4prez",2019-08-03 19:57:33,FALSE,"1157741852902207488","1157742319631851520","728526832971096064","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kys3n",0,FALSE,FALSE,NA,NA
"52","Active shooter at the cielo vista mall. I hope everyone is safe<ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>",FALSE,1,NA,2019-08-03 19:56:09,FALSE,NA,"1157741966442008576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LoganHepworth",0,FALSE,FALSE,NA,NA
"53","@skigh4prez How do you know? Just curious",FALSE,0,"skigh4prez",2019-08-03 19:53:19,FALSE,"1157740763146530817","1157741253108412423","728526832971096064","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kys3n",0,FALSE,FALSE,NA,NA
"54","https://t.co/MzuIsdj5jn",FALSE,0,"TRENding_Topicc",2019-08-03 19:51:45,FALSE,"1157738467901825024","1157740860458639362","42135056","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TRENding_Topicc",0,FALSE,FALSE,NA,NA
"55","God woke me up late on purpose cause I PROMISE i was going to that walmart to get a charger.. and im glad he did..… https://t.co/SsQpYFdHMF",FALSE,0,NA,2019-08-03 19:45:11,TRUE,NA,"1157739206346776576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TRENding_Topicc",0,FALSE,FALSE,NA,NA
