"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Lamentable el panorama #elpasostrong<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> en Walmart El Paso - Gateway Blvd W https://t.co/GnwKLFmc9D",FALSE,0,NA,2019-08-04 23:06:15,FALSE,NA,"1158152197366001665",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","a_g_c10",0,FALSE,FALSE,"-106.3843621","31.77712419"
"2","Our team of #beauty lovers likes to make work fun. Are you ready to elevate your career? We have a wonderful openin… https://t.co/IIS3epFcdL",FALSE,0,NA,2019-08-04 20:32:46,TRUE,NA,"1158113571722551301",NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_elp_cosmo",0,FALSE,FALSE,"-106.3745813","31.7710018"
"3","I didn’t want to post this yesterday due to the tragic events, but thank you to everyone who came for my birthday F… https://t.co/8HlU6PnY9w",FALSE,0,NA,2019-08-04 19:52:04,TRUE,NA,"1158103329286868993",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","StarWarsBeCool",0,FALSE,FALSE,"-106.37397408","31.7712657"
"4","Hate Cannot Drive Out Hate, Only Love Can Do That. Thank You to @mikeabeyta2 &amp; Family for Organizing a Beautiful Ev… https://t.co/oNjyU9RLKC",FALSE,126,NA,2019-08-04 15:17:56,TRUE,NA,"1158034341554868225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RobRobledoBA",16,FALSE,FALSE,NA,NA
"5","#ElPasoStrong https://t.co/YVEi2zVoer",FALSE,10,NA,2019-08-04 13:54:35,FALSE,NA,"1158013366092177408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KJohnson_PDNS",0,FALSE,FALSE,NA,NA
"6","Prayers to the men, women and children who lost their lives today https://t.co/SkRQT7gvcL",FALSE,0,NA,2019-08-04 06:22:03,FALSE,NA,"1157899480546652160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SolomonPreciado",0,FALSE,FALSE,NA,NA
"7","It's so funny I didn't see Trump on a plane headed over here... the only real heroes we saw was Governor Abbott and… https://t.co/bvla5tLDg2",FALSE,1,NA,2019-08-04 05:09:11,TRUE,NA,"1157881144853106688",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Nitrofrmabv99",0,FALSE,FALSE,"-106.34395171","31.76576577"
"8","Scotsdale Elementary would like to offer prayers to all families impacted by today’s tragedy. Thank you to all our… https://t.co/qMxuVB7t4E",FALSE,51,NA,2019-08-04 02:06:06,TRUE,NA,"1157835068003368960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Scotsdale_YISD",3,FALSE,FALSE,NA,NA
"9","Due to the unfortunate set of events we will be postponing the Borderlands #ArtistShowcase...

And would also like… https://t.co/0eUwp2FRJJ",FALSE,0,NA,2019-08-04 01:47:45,TRUE,NA,"1157830450246586368",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TheeLWill",0,FALSE,FALSE,"-106.370988","31.791872"
"10","So humble it witnessing all the lives lost in a place I frequent. Nothing makes you appreciate lives more than being minutes away from death",FALSE,1,NA,2019-08-04 01:17:37,FALSE,NA,"1157822868366905344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BleedSugar",0,FALSE,FALSE,NA,NA
