"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","A family assistance center will open at 5 p.m. at Rucker Elementary School, 325 Santa Clara Ave., Gilroy 95020. Ser… https://t.co/mh1HdvvDaS",FALSE,4,"Jason_T_Green",2019-07-29 23:57:52,TRUE,"1155989667843416073","1155990857121583109","418256456","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jason_T_Green",2,FALSE,FALSE,NA,NA
"2","@cfarivar Thanks for sharing! That means a lot.",FALSE,1,"cfarivar",2019-07-29 23:57:01,FALSE,"1155936381115326464","1155990643379822593","709313","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eduardomcuevas",0,FALSE,FALSE,NA,NA
"3","Click the link in our bio to see currently open #Labor jobs like ""Loader/Unloader - 2nd shift"" at Cintas Corporatio… https://t.co/aA4aZVHbLK",FALSE,0,NA,2019-07-29 23:55:53,TRUE,NA,"1155990357550624769",NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_sjc_labor",0,FALSE,FALSE,"-121.5682751","37.0057816"
"4","Authorities arrested a 20-year-old man who posted on social media he had “just shot up the G-fest.” Investigators d… https://t.co/6A7H3f1rT1",FALSE,4,"Jason_T_Green",2019-07-29 23:53:08,TRUE,"1155984489245376515","1155989667843416073","418256456","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jason_T_Green",4,FALSE,FALSE,NA,NA
"5","CORRECTION: We will be at the Plaza between the library and the city hall. https://t.co/iHBh1NxFu5",FALSE,7,NA,2019-07-29 23:46:32,FALSE,NA,"1155988004072116225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SummerMichelle_",2,FALSE,FALSE,NA,NA
"6","CORRECTION: We will be at the Plaza between the library and the city hall. https://t.co/pRBCp6Zf9U",FALSE,6,NA,2019-07-29 23:46:02,FALSE,NA,"1155987881560641540",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SummerMichelle_",4,FALSE,FALSE,NA,NA
"7","When people ask me how I’m doing over a sensitive subject I literally act like a fool. Start fidgeting and nervousl… https://t.co/4wmZrCVYNb",FALSE,4,NA,2019-07-29 23:43:53,TRUE,NA,"1155987341002936321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","awkwardamy21",0,FALSE,FALSE,NA,NA
"8","The motive in the #gilroygarlicfestival #shooting is unknown, but three people are dead and 15 injured in another s… https://t.co/qNVSTtzfKu",FALSE,11,NA,2019-07-29 23:40:53,TRUE,NA,"1155986585298452480",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","abc7JoshHaskell",2,FALSE,FALSE,"-121.5607","37.0017"
"9","I never realised tragedies were given a pin on google maps. I get it, they want people to stay away from the area a… https://t.co/hiWqsNx20f",FALSE,0,NA,2019-07-29 23:39:53,TRUE,NA,"1155986333774409729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","larry_heath",0,FALSE,FALSE,NA,NA
"10","they said HALS RIGHTS https://t.co/e3ZvBBApuh",FALSE,1,NA,2019-07-29 23:26:50,FALSE,NA,"1155983048271286272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","authentichal",0,FALSE,FALSE,NA,NA
"11","Love you little man. <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD> @ Gilroy, California https://t.co/AE1E1xG3t1",FALSE,0,NA,2019-07-29 23:21:43,FALSE,NA,"1155981759298691073",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SaiaMakakaufaki",0,FALSE,FALSE,"-121.5607","37.0017"
"12","@jaketapper her is another #Gofundme account for #KaylaSalazar, the 13 year old girl killed in the #gilroyshooting.… https://t.co/k6w9AsRwl7",FALSE,0,"jaketapper",2019-07-29 23:07:13,TRUE,NA,"1155978110388453376","14529929","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BriannaDelmue",0,FALSE,FALSE,NA,NA
"13","@GavinNewsom You @GavinNewsom are nothing short of horrific. <ed><U+00A0><U+00BD><ed><U+00B2><U+00A9>",FALSE,1,"GavinNewsom",2019-07-29 23:05:27,FALSE,"1155680934210895872","1155977667851587585","11347122","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FollowCN360",1,FALSE,FALSE,NA,NA
"14","@shaunking can you please help share this?",FALSE,1,"BriannaDelmue",2019-07-29 22:48:30,FALSE,"1155963051310366721","1155973399744659456","4862201510","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BriannaDelmue",0,FALSE,FALSE,NA,NA
"15","The #boy was SIX YEARS OLD.  Mine is four. I know they say you can't let terrorism win.  I once joined the #Army be… https://t.co/6hvsLYqI54",FALSE,0,NA,2019-07-29 22:42:46,TRUE,NA,"1155971956627296256",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","jonathonfeit",0,FALSE,FALSE,"-121.56952","37.00774"
"16","The Motive is still unclear, but investigators are learning more about the suspect and we now have names of the 3 v… https://t.co/vLwO8VZayY",FALSE,3,NA,2019-07-29 22:32:08,TRUE,NA,"1155969283089817602",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abc7JoshHaskell",0,FALSE,FALSE,NA,NA
"17","anyway, donate to real sources. please tweet me if you find any",FALSE,0,"alzeixs",2019-07-29 22:28:23,FALSE,"1155968066443857923","1155968339161649153","3061056875","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alzeixs",0,FALSE,FALSE,NA,NA
"18","making make shift bracelets to have some sort of attention during this time where people have literally died is something else",FALSE,4,NA,2019-07-29 22:27:18,FALSE,NA,"1155968066443857923",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alzeixs",1,FALSE,FALSE,NA,NA
"19","@RichardCrouse Thank you! <ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+2620><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BD><U+00B9>",FALSE,0,"RichardCrouse",2019-07-29 22:26:40,FALSE,"1155966895012503553","1155967906041065472","89185831","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DavidLozeau",0,FALSE,FALSE,NA,NA
