"","Start","Stop","Number_of_Tweets"
"1",2019-07-27 00:00:00,2019-07-27 01:00:00,33
"2",2019-07-27 01:00:00,2019-07-27 02:00:00,37
"3",2019-07-27 02:00:00,2019-07-27 03:00:00,31
"4",2019-07-27 03:00:00,2019-07-27 04:00:00,19
"5",2019-07-27 04:00:00,2019-07-27 05:00:00,24
"6",2019-07-27 05:00:00,2019-07-27 06:00:00,27
"7",2019-07-27 06:00:00,2019-07-27 07:00:00,23
"8",2019-07-27 07:00:00,2019-07-27 08:00:00,28
"9",2019-07-27 08:00:00,2019-07-27 09:00:00,17
"10",2019-07-27 09:00:00,2019-07-27 10:00:00,5
"11",2019-07-27 10:00:00,2019-07-27 11:00:00,9
"12",2019-07-27 11:00:00,2019-07-27 12:00:00,4
"13",2019-07-27 12:00:00,2019-07-27 13:00:00,7
"14",2019-07-27 13:00:00,2019-07-27 14:00:00,13
"15",2019-07-27 14:00:00,2019-07-27 15:00:00,20
"16",2019-07-27 15:00:00,2019-07-27 16:00:00,19
"17",2019-07-27 16:00:00,2019-07-27 17:00:00,33
"18",2019-07-27 17:00:00,2019-07-27 18:00:00,41
"19",2019-07-27 18:00:00,2019-07-27 19:00:00,48
"20",2019-07-27 19:00:00,2019-07-27 20:00:00,50
"21",2019-07-27 20:00:00,2019-07-27 21:00:00,45
"22",2019-07-27 21:00:00,2019-07-27 22:00:00,34
"23",2019-07-27 22:00:00,2019-07-27 23:00:00,30
"24",2019-07-27 23:00:00,2019-07-28 00:00:00,32
"25",2019-07-28 00:00:00,2019-07-28 01:00:00,49
"26",2019-07-28 01:00:00,2019-07-28 02:00:00,27
"27",2019-07-28 02:00:00,2019-07-28 03:00:00,30
"28",2019-07-28 03:00:00,2019-07-28 04:00:00,38
"29",2019-07-28 04:00:00,2019-07-28 05:00:00,36
"30",2019-07-28 05:00:00,2019-07-28 06:00:00,40
"31",2019-07-28 06:00:00,2019-07-28 07:00:00,35
"32",2019-07-28 07:00:00,2019-07-28 08:00:00,17
"33",2019-07-28 08:00:00,2019-07-28 09:00:00,12
"34",2019-07-28 09:00:00,2019-07-28 10:00:00,7
"35",2019-07-28 10:00:00,2019-07-28 11:00:00,2
"36",2019-07-28 11:00:00,2019-07-28 12:00:00,7
"37",2019-07-28 12:00:00,2019-07-28 13:00:00,2
"38",2019-07-28 13:00:00,2019-07-28 14:00:00,19
"39",2019-07-28 14:00:00,2019-07-28 15:00:00,18
"40",2019-07-28 15:00:00,2019-07-28 16:00:00,29
"41",2019-07-28 16:00:00,2019-07-28 17:00:00,46
"42",2019-07-28 17:00:00,2019-07-28 18:00:00,30
"43",2019-07-28 18:00:00,2019-07-28 19:00:00,49
"44",2019-07-28 19:00:00,2019-07-28 20:00:00,50
"45",2019-07-28 20:00:00,2019-07-28 21:00:00,28
"46",2019-07-28 21:00:00,2019-07-28 22:00:00,38
"47",2019-07-28 22:00:00,2019-07-28 23:00:00,38
"48",2019-07-28 23:00:00,2019-07-29 00:00:00,37
"49",2019-07-29 00:00:00,2019-07-29 01:00:00,33
"50",2019-07-29 01:00:00,2019-07-29 02:00:00,213
"51",2019-07-29 02:00:00,2019-07-29 03:00:00,2850
"52",2019-07-29 03:00:00,2019-07-29 04:00:00,3690
"53",2019-07-29 04:00:00,2019-07-29 05:00:00,2628
"54",2019-07-29 05:00:00,2019-07-29 06:00:00,2282
"55",2019-07-29 06:00:00,2019-07-29 07:00:00,984
"56",2019-07-29 07:00:00,2019-07-29 08:00:00,482
"57",2019-07-29 08:00:00,2019-07-29 09:00:00,222
"58",2019-07-29 09:00:00,2019-07-29 10:00:00,163
"59",2019-07-29 10:00:00,2019-07-29 11:00:00,173
"60",2019-07-29 11:00:00,2019-07-29 12:00:00,178
"61",2019-07-29 12:00:00,2019-07-29 13:00:00,188
"62",2019-07-29 13:00:00,2019-07-29 14:00:00,200
"63",2019-07-29 14:00:00,2019-07-29 15:00:00,249
"64",2019-07-29 15:00:00,2019-07-29 16:00:00,247
"65",2019-07-29 16:00:00,2019-07-29 17:00:00,230
"66",2019-07-29 17:00:00,2019-07-29 18:00:00,217
"67",2019-07-29 18:00:00,2019-07-29 19:00:00,189
"68",2019-07-29 19:00:00,2019-07-29 20:00:00,157
"69",2019-07-29 20:00:00,2019-07-29 21:00:00,161
"70",2019-07-29 21:00:00,2019-07-29 22:00:00,106
"71",2019-07-29 22:00:00,2019-07-29 23:00:00,96
"72",2019-07-29 23:00:00,2019-07-30 00:00:00,113
