"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Accident in #LasVegas on Koval Ln at Tropicana Ave #VegasTraffic https://t.co/5rmaMyCQ1w",FALSE,0,NA,2017-10-02 23:48:52,FALSE,NA,"915000664589090816",NA,"<a href=""http://www.sigalert.com/Map.asp?region=Las+Vegas"" rel=""nofollow"">TTN LAS traffic</a>","TotalTrafficLV",0,FALSE,FALSE,"-115.1639","36.10079"
"2","Blood stained sidewalk and shoe near the massacre site @MandalayBay #lasvegas #vegas #shooting @NBCNews @MSNBC… https://t.co/9oKhuM0mM3",FALSE,0,NA,2017-10-02 20:57:32,TRUE,NA,"914957543054614528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GCHOONBC",0,FALSE,FALSE,NA,NA
"3","The Shrine of the Holy Redeemer is just behind where the shooting was.  Been looking all morning… https://t.co/Tn6pl6nwCo",FALSE,0,NA,2017-10-02 20:12:08,FALSE,NA,"914946118538186753",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","rlcampos",0,FALSE,FALSE,"-115.16975993","36.09654579"
"4","Leaving Las Vegas - #LasVegasStrong  https://t.co/Tn2k2LDEte",FALSE,177,NA,2017-10-02 19:25:17,FALSE,NA,"914934330895433728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GrantCardone",70,FALSE,FALSE,NA,NA
"5","Our flight was at 540 am but that doesn’t matter, you still turn up… https://t.co/NCRp0U5axg",FALSE,1,NA,2017-10-02 15:31:13,FALSE,NA,"914875425712521217",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","krystal0324",0,FALSE,FALSE,"-115.1498884","36.08450424"
"6","Terminal 3 - McCarran International Airport<U+306B><U+5199><U+771F><U+3092><U+6295><U+7A3F><U+3057><U+307E><U+3057><U+305F>https://t.co/cGy3PUF2U5",FALSE,0,NA,2017-10-02 14:59:16,FALSE,NA,"914867384091000832",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","rock_r3",0,FALSE,FALSE,"-115.15034","36.08441"
"7","My stupidity meant an unplanned night in Vegas. I'm counting my blessings I was only… https://t.co/InOc0Xq1Nk",FALSE,0,NA,2017-10-02 09:42:40,FALSE,NA,"914787710233178112",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mike_mudd",0,FALSE,FALSE,"-115.16447","36.09964"
"8","In Vegas praying for everyone , God Bless those that didn't make it #<ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+0090><ed><U+00A0><U+00BD><ed><U+00B8><U+0094>",FALSE,1,NA,2017-10-02 08:55:49,FALSE,NA,"914775919960588288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BIGFREEZE92",0,FALSE,FALSE,NA,NA
"9","This is too close. Hiring the sirens and knowing there is an active shooter is beyond anything I can think of.",FALSE,6,NA,2017-10-02 06:44:15,FALSE,NA,"914742807750877184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Steph1Zepeda",1,FALSE,FALSE,NA,NA
"10","Praying for all of the people affected by the tragedy at Mandalay Bay..",FALSE,9,NA,2017-10-02 06:34:20,FALSE,NA,"914740314484518912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dj_donofrio",1,FALSE,FALSE,NA,NA
"11","WTF #LasVegasShooting ? https://t.co/DWRCqdaXUD",FALSE,2,"CWOO2G",2017-10-02 05:57:41,FALSE,"914730037093347328","914731090593460224","90149171","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CWOO2G",0,FALSE,FALSE,NA,NA
"12","I'm at Double Down Saloon - @doubledownlv in Las Vegas, NV https://t.co/khcdFJEddb",FALSE,0,NA,2017-10-02 04:00:07,FALSE,NA,"914701504715554816",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","Desautomatas",0,FALSE,FALSE,"-115.15031737","36.1055372"
"13","Boooooo! The Burly-Q Revue in Las Vegas double_down_saloon #performanceart #strippers… https://t.co/k53Esm3U6J",FALSE,0,NA,2017-10-02 03:49:40,FALSE,NA,"914698873347723264",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MisterTwisterMS",0,FALSE,FALSE,"-115.15063","36.10546"
"14","Getting dinner (@ Vegas Best Pizza in Las Vegas, NV) https://t.co/b38pqYVpQm",FALSE,0,NA,2017-10-02 00:04:40,FALSE,NA,"914642251577532416",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","Damali0812",0,FALSE,FALSE,"-115.15620011","36.10288079"
"15","@Regrann from missmirandaglamour  -  The Happiest Place on Earth becomes the Spookiest Burlesque… https://t.co/cyD9EpxQ1S",FALSE,0,"regrann",2017-10-01 22:57:36,FALSE,NA,"914625371248656384","2865635925","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","sweetiebird",0,FALSE,FALSE,"-115.15063","36.10546"
