"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","If you're looking for work in #Centennial, CO, check out this #FastCasual job via the link in our bio: Restaurant S… https://t.co/Xl9IVI0MRe",FALSE,0,NA,2019-05-09 16:41:02,TRUE,NA,"1126527509904781312",NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_den_jobs",0,FALSE,FALSE,"-104.9610348","39.5947834"
"2","@TR_Warriors https://t.co/UTUFwzVlpR",FALSE,0,"TR_Warriors",2019-05-09 16:36:55,FALSE,"1126359370818818049","1126526474205499392","827142191772495873","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lovebuggy17",0,FALSE,FALSE,NA,NA
"3","If you ask “To be, or not to be a wook” your not a wook nor will you ever be. I don’t make the rules I just enforce them <ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+200D><U+2642><U+FE0F>",FALSE,0,NA,2019-05-09 16:24:22,FALSE,NA,"1126523313319239680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MasoonJo",0,FALSE,FALSE,NA,NA
"4","Welcome to springtime in #Breckenridge. Would you like to sit inside or outside? #breckbrew https://t.co/qLuNo1wKwk",FALSE,5,NA,2019-05-09 16:23:26,FALSE,NA,"1126523079008706561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BreckBrew",0,FALSE,FALSE,NA,NA
"5","We all know phycidelics help you find the way to your mind and body and soul but if you have no association with Co… https://t.co/DiX00pkoHO",FALSE,0,NA,2019-05-09 16:22:17,TRUE,NA,"1126522791421972486",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MasoonJo",0,FALSE,FALSE,NA,NA
"6","It’s 2019 someone needs to tell me why bagels don’t have seasoning on both sides yet?!?!",FALSE,0,NA,2019-05-09 16:14:38,FALSE,NA,"1126520866446221312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MasoonJo",0,FALSE,FALSE,NA,NA
"7","Had a horrible dream last night that epic vaulted the only good shotgun and replaced it with another tac",FALSE,0,NA,2019-05-09 15:38:53,FALSE,NA,"1126511866962894849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DefenseFN",0,FALSE,FALSE,NA,NA
"8","@ErickGreen Happy Birthday! <ed><U+00A0><U+00BC><ed><U+00BE><U+0082> Have a wonderful day! Much love! <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>",FALSE,0,"ErickGreen",2019-05-09 15:25:49,FALSE,NA,"1126508579496706048","131009726","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NuggetfanVicki",0,FALSE,FALSE,NA,NA
"9","@alanalda @YouTube @BreneBrown Love this! @chelseahandler , talked about this topic at her show the other night.",FALSE,1,"alanalda",2019-05-09 15:13:20,FALSE,"1126479572088836096","1126505437942075392","3226351612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pammyfiedler",0,FALSE,FALSE,NA,NA
"10","I appreciate when people ask if they can pet your dogs. Even if it’s just a glance at you and a nod",FALSE,1,NA,2019-05-09 15:12:46,FALSE,NA,"1126505297122476032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rudymeadows",0,FALSE,FALSE,NA,NA
