"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1",1,"Can you recommend anyone for this job in #HighlandsRanch, CO? https://t.co/CwvwdmHlYY #security",FALSE,0,NA,"2019-05-09 16:49:01",FALSE,NA,1126529518603096064,NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_cob_secure",0,FALSE,FALSE,-104.9739333,39.5480789
"20",20,"Highlands Ranch CO Thu May 9th AM Forecast: TODAY Rain/Snow Showers Hi 40 TONIGHT Rain/Snow Showers Lo 33",FALSE,0,NA,"2019-05-09 14:02:10",FALSE,NA,1126487529178456064,NA,"<a href=""http://towntweet.com/"" rel=""nofollow"">TownTweet</a>","HighlandsRanch_",0,FALSE,FALSE,-104.9672,39.5497
"87",87,"Want to work at TJX Companies, Inc.? We're hiring in #HighlandsRanch, CO! Click the link in our bio for details on… https://t.co/E2lzUjEhHs",FALSE,0,NA,"2019-05-08 23:23:02",TRUE,NA,1126266285342388224,NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_cob_secure",0,FALSE,FALSE,-104.9739333,39.5480789
"135",135,"Marine Hopeful Helped Subdue Shooter at Colorado School https://t.co/X1xnjnWjEE",FALSE,0,NA,"2019-05-08 15:37:11",FALSE,NA,1126149053648199680,NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","FOX40",1,FALSE,FALSE,-104.973933,39.548079
"272",272,"ABK up 1-0 vs Northglenn at half #goarapahoe #abk #proudwarrior",FALSE,4,NA,"2019-05-08 01:51:00",FALSE,NA,1125941136336384000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SraMonson",0,FALSE,FALSE,NA,NA
"343",343,".@GirlsSoccerNGHS and Arapahoe face-off in two minutes here in the opening round of the 5A state playoffs! #copreps https://t.co/VPINKI17Fn",FALSE,0,NA,"2019-05-08 00:59:20",FALSE,NA,1125928135206195200,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AdamHothersall",0,FALSE,FALSE,NA,NA
"370",370,"Highlands Ranch CO Tue May 7th PM Forecast: TONIGHT Chance Of T-Storm Lo 40 WEDNESDAY Rain Showers Hi 41",FALSE,0,NA,"2019-05-07 23:02:08",FALSE,NA,1125898640202129408,NA,"<a href=""http://towntweet.com/"" rel=""nofollow"">TownTweet</a>","HighlandsRanch_",1,FALSE,FALSE,-104.9672,39.5497
"391",391,"Closed due to police situation in #HighlandsRanch on Plz Dr Both EB/WB between Lucent Boulevard and S Broadway #COtraffic",FALSE,0,NA,"2019-05-07 21:51:52",FALSE,NA,1125880956487983104,NA,"<a href=""http://www.sigalert.com/Map.asp?region=Denver"" rel=""nofollow"">TTN DEN traffic</a>","TotalTrafficDEN",0,FALSE,FALSE,-105.008,39.55571
"414",414,"Multiple Injuries in School Shooting in Denver Suburb https://t.co/1I7XDFKVmB",FALSE,0,NA,"2019-05-07 21:10:54",FALSE,NA,1125870644846047232,NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","FOX40",1,FALSE,FALSE,-104.973933,39.548079
"417",417,"Career tip for landing jobs like ""SBA Business Development Officer 2"" in #HighlandsRanch, CO. Go on informational i… https://t.co/qFGsaCQBjs",FALSE,0,NA,"2019-05-07 21:08:09",TRUE,NA,1125869953280700416,NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_den_banking",0,FALSE,FALSE,-104.9739333,39.5480789
