"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3",3,"Yep https://t.co/2X08WPf4HX",FALSE,0,NA,"2019-05-09 15:08:51",FALSE,NA,1126504308885692416,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GibsonGH",0,FALSE,FALSE,NA,NA
"5",5,"This is what leadership looks like https://t.co/Vm5L6oH0cU",FALSE,0,NA,"2019-05-09 14:50:09",FALSE,NA,1126499605187682304,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GibsonGH",0,FALSE,FALSE,NA,NA
"42",42,"https://t.co/fjPRtJfISX",FALSE,0,NA,"2019-05-09 00:22:25",FALSE,NA,1126281232671580160,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GibsonGH",0,FALSE,FALSE,NA,NA
"47",47,"The amazing team @highlands_ranch Northridge Rec center that dropped all they were doing to give everything to the… https://t.co/ndjI1QdmZ4",FALSE,33,NA,"2019-05-08 20:36:43",TRUE,NA,1126224433415368704,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CSP_ESU",5,FALSE,FALSE,NA,NA
"49",49,"https://t.co/mQpT5O0Ffy",FALSE,0,NA,"2019-05-08 19:07:06",FALSE,NA,1126201877891141632,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GibsonGH",0,FALSE,FALSE,NA,NA
"53",53,"Just up the street from my work. If Kendrick Castillo hadn't rushed the shooter, some of these kids might not have… https://t.co/r8dh19x2lq",FALSE,1,NA,"2019-05-08 18:40:32",TRUE,NA,1126195195144355840,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GibsonGH",0,FALSE,FALSE,NA,NA
"58",58,"RT @LPSK12: TIPS For Parents from the LPS Mental Health Team:

https://t.co/7J4RGRsAyi",FALSE,0,NA,"2019-05-08 14:22:39",FALSE,NA,1126130296334602240,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Auntij92",6,TRUE,FALSE,NA,NA
"60",60,"RT @LPSK12: TIPS For Parents from the LPS Mental Health Team:

https://t.co/7J4RGRsAyi",FALSE,0,NA,"2019-05-08 12:21:39",FALSE,NA,1126099842420240384,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amymc37",6,TRUE,FALSE,NA,NA
"64",64,"RT @LPSK12: TIPS For Parents from the LPS Mental Health Team:

https://t.co/7J4RGRsAyi",FALSE,0,NA,"2019-05-08 11:04:29",FALSE,NA,1126080426282381312,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LizKotalik",6,TRUE,FALSE,NA,NA
"69",69,"RT @LPSK12: TIPS For Parents from the LPS Mental Health Team:

https://t.co/7J4RGRsAyi",FALSE,0,NA,"2019-05-08 04:58:30",FALSE,NA,1125988320662642688,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DemandaCourt",6,TRUE,FALSE,NA,NA
"70",70,"TIPS For Parents from the LPS Mental Health Team:

https://t.co/7J4RGRsAyi",FALSE,7,NA,"2019-05-08 04:45:03",FALSE,NA,1125984937704738816,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LPSK12",6,FALSE,FALSE,NA,NA
