"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@benrapeisberger Oh my gosh. Please keep your comments to yourself <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084>",FALSE,0,"benrapeisberger",2019-05-06 23:59:48,FALSE,"1124552776166649856","1125550765035085824","982019165610500096","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","broncos314",0,FALSE,FALSE,NA,NA
"2","@Ramikantari @RosaTrunk @PatGrant7777 @mirtaimperatori @paoloigna1 @yaidunohannji @srinualme @sprague_paul… https://t.co/BeGXgCxsvW",FALSE,12,"Ramikantari",2019-05-06 23:59:40,TRUE,"1125540486209576961","1125550729802985472","14126888","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","tripletsfan19",8,FALSE,FALSE,NA,NA
"3","@McCreamy @Zuckles Anthem sucks.",FALSE,0,"McCreamy",2019-05-06 23:59:38,FALSE,"1125357383528505344","1125550721305235458","795858572848443392","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SMemes13",0,FALSE,FALSE,NA,NA
"4","Go Jags!!! https://t.co/ZClk5TSucm",FALSE,15,NA,2019-05-06 23:59:28,FALSE,NA,"1125550678233894912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RockCanyonHS",1,FALSE,FALSE,NA,NA
"5","Have you ever had a role like ""Restaurant Team Member - Cashier, Server""? What did you like most about that job? #FastCasual #Centennial, CO",FALSE,0,NA,2019-05-06 23:58:57,FALSE,NA,"1125550551041634305",NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_den_jobs",0,FALSE,FALSE,"-104.9610348","39.5947834"
"6","@GregzillaGT Aww dude very nice art. *ziiiiiiip* fap fap fap fap fap.",FALSE,0,"GregzillaGT",2019-05-06 23:57:09,FALSE,"1125202349268406272","1125550097310162944","1351026896","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SMemes13",0,FALSE,FALSE,NA,NA
"7","RT @colton: https://t.co/yQiaFntGPq",FALSE,0,NA,2019-05-06 23:56:47,FALSE,NA,"1125550002925899777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taylorkelseyy",332,TRUE,FALSE,NA,NA
"8","@TonyML522 Like a bunch of baby deers.",FALSE,1,"TonyML522",2019-05-06 23:55:34,FALSE,"1125537878358908928","1125549696749953024","889496301397696512","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","msr9507",0,FALSE,FALSE,NA,NA
"9","RT @HeritagePE2019: So proud of the 2019 Hex Team! They put in 110% effort training and during the meet Friday! Heritage placed in the top…",FALSE,0,NA,2019-05-06 23:52:01,FALSE,NA,"1125548806769012736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlisaTolson",4,TRUE,FALSE,NA,NA
"10","RT @colton: https://t.co/yQiaFntGPq",FALSE,0,NA,2019-05-06 23:48:48,FALSE,NA,"1125547997255864321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Exra_7",332,TRUE,FALSE,NA,NA
