"","Start","Stop","Number_of_Tweets"
"1",2019-05-06 00:00:00,2019-05-06 04:00:00,61
"2",2019-05-06 04:00:00,2019-05-06 08:00:00,28
"3",2019-05-06 08:00:00,2019-05-06 12:00:00,5
"4",2019-05-06 12:00:00,2019-05-06 16:00:00,32
"5",2019-05-06 16:00:00,2019-05-06 20:00:00,37
"6",2019-05-06 20:00:00,2019-05-07 00:00:00,34
"7",2019-05-07 00:00:00,2019-05-07 04:00:00,57
"8",2019-05-07 04:00:00,2019-05-07 08:00:00,18
"9",2019-05-07 08:00:00,2019-05-07 12:00:00,7
"10",2019-05-07 12:00:00,2019-05-07 16:00:00,24
"11",2019-05-07 16:00:00,2019-05-07 20:00:00,43
"12",2019-05-07 20:00:00,2019-05-08 00:00:00,139
"13",2019-05-08 00:00:00,2019-05-08 04:00:00,153
"14",2019-05-08 04:00:00,2019-05-08 08:00:00,22
"15",2019-05-08 08:00:00,2019-05-08 12:00:00,15
"16",2019-05-08 12:00:00,2019-05-08 16:00:00,55
"17",2019-05-08 16:00:00,2019-05-08 20:00:00,65
"18",2019-05-08 20:00:00,2019-05-09 00:00:00,67
"19",2019-05-09 00:00:00,2019-05-09 04:00:00,128
"20",2019-05-09 04:00:00,2019-05-09 08:00:00,21
"21",2019-05-09 08:00:00,2019-05-09 12:00:00,5
"22",2019-05-09 12:00:00,2019-05-09 16:00:00,53
"23",2019-05-09 16:00:00,2019-05-09 20:00:00,29
