"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Growing memorial at Saugus HS. Spoke to some faculty. Nobody knows what day school will start again. <U+2066>@CBSLA<U+2069> https://t.co/XL35d61eD3",FALSE,10,NA,2019-11-16 22:14:23,FALSE,NA,"1195827480566714369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GregMillsTVNews",1,FALSE,FALSE,NA,NA
"2","We stopped by the memorial at Central Park today to pay our respects. #SaugusStrong  #Enough https://t.co/oSjTdOMZtA",FALSE,0,NA,2019-11-16 21:35:59,FALSE,NA,"1195817815770460160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SandyPoole86",0,FALSE,FALSE,NA,NA
"3","Santa Clarita CA Sat Nov 16th AM Forecast: TODAY Sunny Hi 85 TONIGHT Mostly Clear Lo 60",FALSE,0,NA,2019-11-16 16:03:13,FALSE,NA,"1195734075077730304",NA,"<a href=""http://towntweet.com/"" rel=""nofollow"">TownTweet</a>","SantaClaritaCA_",0,FALSE,FALSE,"-118.517","34.446"
"4","The memorials continue to grow tonight at Saugus High School. We’re live at 11 with the latest on the heartbreaking… https://t.co/pV8Is1lrP6",FALSE,113,NA,2019-11-16 06:58:37,TRUE,NA,"1195597022377627648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ABC7Jory",17,FALSE,FALSE,NA,NA
"5","i love you centurions. <ed><U+00A0><U+00BE><ed><U+00B4><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+0099> https://t.co/qedKVhf7se",FALSE,119,NA,2019-11-16 05:04:19,FALSE,NA,"1195568255412228096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lor3nzoh",22,FALSE,FALSE,NA,NA
"6","With no manifesto or suicide note and the shooter now dead, @LASDHQ faces an uphill battle to figure out the motive… https://t.co/w2JlGAV87E",FALSE,2,NA,2019-11-16 01:52:49,TRUE,NA,"1195520062544678912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","steffdaz",1,FALSE,FALSE,NA,NA
"7","#SaugusShooting suspect has died from his self-inflicted gunshot wound — according to @LASDHQ. Detectives are left… https://t.co/J0M2HkmYYR",FALSE,1,NA,2019-11-16 01:05:59,TRUE,NA,"1195508276718264320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Carlos_Saucedo",0,FALSE,FALSE,NA,NA
"8","Santa Clarita CA Fri Nov 15th PM Forecast: TONIGHT Mostly Clear Lo 50 SATURDAY Sunny Hi 86",FALSE,0,NA,2019-11-16 01:02:48,FALSE,NA,"1195507478294872064",NA,"<a href=""http://towntweet.com/"" rel=""nofollow"">TownTweet</a>","SantaClaritaCA_",0,FALSE,FALSE,"-118.517","34.446"
"9","More than 40 witnesses have been interviewed.  The crime scene has been processed.  The evidence has been collected… https://t.co/cPMcyHlulF",FALSE,29,NA,2019-11-15 22:54:14,TRUE,NA,"1195475120866775040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abc7robhayes",9,FALSE,FALSE,NA,NA
"10","Yesterday was a hard day, both of @Two8NineMedia photojournalists are graduates of #SaugusHighSchool. Our thoughts… https://t.co/7mVq93mKBL",FALSE,28,NA,2019-11-15 22:11:44,TRUE,NA,"1195464426372993025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Two8NineMedia",3,FALSE,FALSE,NA,NA
"11","While search for a motive in #SaugusShooting continues, community creates and gathers at a memorial in nearby Centr… https://t.co/xxghmlardm",FALSE,44,NA,2019-11-15 20:34:31,TRUE,NA,"1195439958980345856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KimNBCLA",8,FALSE,FALSE,NA,NA
"12","#saugusstrong #neveragain <ed><U+00A0><U+00BD><ed><U+00B2><U+0099> https://t.co/u4w1felnrg",FALSE,5,NA,2019-11-15 20:21:43,FALSE,NA,"1195436738254008320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kelseyschauble",1,FALSE,FALSE,NA,NA
"13","#memorial growing #saugushighschool @ Saugus High School https://t.co/DlPFApRC9p",FALSE,0,NA,2019-11-15 17:55:02,FALSE,NA,"1195399826797666304",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Alhenkel",0,FALSE,FALSE,"-118.51890916","34.44167533"
"14","Más de la cobertura de la balacera en la escuela saugushighschool en #SantaClarita, #California #News #Noticias… https://t.co/90oTnD37jF",FALSE,0,NA,2019-11-15 17:22:09,TRUE,NA,"1195391550810812416",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","abelalvarezcu",0,FALSE,FALSE,"-118.51890916","34.44167533"
"15","Our coverage of yesterday’s senseless tragedy at #SaugusHigh.
#SantaClarita #centurionstrong #saugusstrong 

Saugus… https://t.co/6ttrM9jQIQ",FALSE,3,NA,2019-11-15 16:57:04,TRUE,NA,"1195385237548630017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Two8NineMedia",2,FALSE,FALSE,NA,NA
"16","Today, we are all Centurions #saugusstrong @ Saugus High School https://t.co/St0w6E0fHb",FALSE,1,NA,2019-11-15 16:41:33,FALSE,NA,"1195381332408512521",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","danwelh90",0,FALSE,FALSE,"-118.51890916","34.44167533"
"17","Santa Clarita CA Fri Nov 15th AM Forecast: TODAY Patchy Fog Hi 70 TONIGHT Mostly Clear Lo 50",FALSE,0,NA,2019-11-15 16:03:09,FALSE,NA,"1195371669252190208",NA,"<a href=""http://towntweet.com/"" rel=""nofollow"">TownTweet</a>","SantaClaritaCA_",0,FALSE,FALSE,"-118.517","34.446"
"18","#SantaClarita: Central Park this morning. Balloons, flowers &amp; candles surround a growing memorial. A vigil is set t… https://t.co/3FVATamGN0",FALSE,5,NA,2019-11-15 15:39:58,TRUE,NA,"1195365833960112130",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blakeatwell5",1,FALSE,FALSE,NA,NA
"19","We are SAUGUS! You may bend us but you won’t break us! We are strong!! We are one!!
I have 500 of these stickers fo… https://t.co/Y0Bouz6Itz",FALSE,2,NA,2019-11-15 15:39:52,TRUE,NA,"1195365811462049794",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","gavnjules",0,FALSE,FALSE,"-118.51890916","34.44167533"
"20","ICYMI: Our somber reporting from Santa Clarita, CA, on Friday. https://t.co/iV0WofnIuk",FALSE,1,NA,2019-11-15 14:01:23,FALSE,NA,"1195341024354127872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","herberse",0,FALSE,FALSE,NA,NA
"21","A local resident stops by #CentralPark in #Saugus this morning to pay his respects to the victims of Thursday’s… https://t.co/yJ5HUeFDRg",FALSE,3,NA,2019-11-15 13:51:09,TRUE,NA,"1195338452276928512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KNXBaird",0,FALSE,FALSE,NA,NA
"22","<ed><U+00A0><U+00BD><ed><U+00B2><U+0094> #SaugusHighShooting Our team coverage continues on @ABC7 this morning LIVE from Santa Clarita. #abc7eyewitness https://t.co/Vx81LoEwDp",FALSE,52,NA,2019-11-15 12:52:36,FALSE,NA,"1195323717217218566",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abc7marccr",6,FALSE,FALSE,NA,NA
"23","I released another new podcast today catching you guys up with the updates as well as some perspective on the… https://t.co/p6ovWNIDEO",FALSE,0,NA,2019-11-15 12:16:57,TRUE,NA,"1195314745705787392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaizenchris",0,FALSE,FALSE,NA,NA
"24","On the scene of America’s latest school shooting. @DavidBegnaud has the latest on what law enforcement knows about… https://t.co/auAEtUYAPr",FALSE,0,NA,2019-11-15 11:58:02,TRUE,NA,"1195309984088645634",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","herberse",0,FALSE,FALSE,NA,NA
"25","@todayshow ready for air. @ Saugus High School https://t.co/3YZFbJJCYa",FALSE,0,"TODAYshow",2019-11-15 11:57:12,FALSE,NA,"1195309773211815936","7744592","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Alhenkel",0,FALSE,FALSE,"-118.51890916","34.44167533"
