"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Slept in today, made forts and played in the tub. It’s been a busy season and just chilled most of the day. jezzyza… https://t.co/cDIkWT5V6N",FALSE,0,NA,2019-11-16 23:58:36,TRUE,NA,"1195853705821601792",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","CLSprinkles",0,FALSE,FALSE,"-118.5058","34.4168"
"2","#myshepherds#germanshepherd #germanshepherddog#shepherds#shepherddogs#mybigdogs#ranchdogs# @ Santa Clarita, Califor… https://t.co/ajDm30lFJy",FALSE,0,NA,2019-11-16 23:49:44,TRUE,NA,"1195851475454443521",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MRL3dogs",0,FALSE,FALSE,"-118.5058","34.4168"
"3","Growing memorial at Saugus HS. Spoke to some faculty. Nobody knows what day school will start again. <U+2066>@CBSLA<U+2069> https://t.co/XL35d61eD3",FALSE,12,NA,2019-11-16 22:14:23,FALSE,NA,"1195827480566714369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GregMillsTVNews",1,FALSE,FALSE,NA,NA
"4","Ça date j’ai pas parié",FALSE,0,NA,2019-11-16 22:03:58,FALSE,NA,"1195824859936415745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yanraa__",0,FALSE,FALSE,NA,NA
"5","We stopped by the memorial at Central Park today to pay our respects. #SaugusStrong  #Enough https://t.co/oSjTdOMZtA",FALSE,0,NA,2019-11-16 21:35:59,FALSE,NA,"1195817815770460160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SandyPoole86",0,FALSE,FALSE,NA,NA
"6","Meeting new friends who are students at Saugus HS. @ Santa Clarita, California https://t.co/8t5s4pTPND",FALSE,5,NA,2019-11-16 20:07:27,FALSE,NA,"1195795539130044416",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AaronComfortDog",0,FALSE,FALSE,"-118.5058","34.4168"
"7","Jvais montrer ça à ma soeur qu’elle s’implique une taffe https://t.co/lnjq6YEklu",FALSE,0,NA,2019-11-16 20:04:22,FALSE,NA,"1195794763024338945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yanraa__",0,FALSE,FALSE,NA,NA
"8","#LiberezKbNueve https://t.co/LEp59Gr0EO",FALSE,1,NA,2019-11-16 19:26:41,FALSE,NA,"1195785276397883397",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yanraa__",0,FALSE,FALSE,NA,NA
"9","R.I.P. in paradise you beautiful young souls! My heart hurts so much for all affected by this senseless crime. @ Sa… https://t.co/3EcJ5TWJ1z",FALSE,0,NA,2019-11-16 19:19:03,TRUE,NA,"1195783355624763392",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","strohanowsky",0,FALSE,FALSE,"-118.5058","34.4168"
"10","This young lady was one of the last students evacuated during the shooting at her high school. #prayforher… https://t.co/wZzYOP2NnL",FALSE,0,NA,2019-11-16 17:33:09,TRUE,NA,"1195756706938019841",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AaronComfortDog",0,FALSE,FALSE,"-118.5058","34.4168"
