"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","We hope you have a great Saturday!
Taproom is open and cold beer is flowin’ ... bring on the dogs <ed><U+00A0><U+00BD><ed><U+00B0><U+0095> @ Young Veteran… https://t.co/NGjnlmJifI",FALSE,0,NA,2019-06-01 18:07:24,TRUE,NA,"1134884162526162944",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","YoungVetsBrew",0,FALSE,FALSE,"-76.05546","36.78635"
"2","Scenes from #VirginiaBeach last night, where 12 victims were killed in addition to the shooter yesterday. @ City of… https://t.co/ZGGGYGyZlV",FALSE,1,NA,2019-06-01 14:35:43,TRUE,NA,"1134830891044364294",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","sarahmccammon",1,FALSE,FALSE,"-76.08829","36.77874"
"3","Our hearts go out to all the families, friends and loved ones finding themseves suddenly affected by such a horrifi… https://t.co/zjEazbZnwN",FALSE,0,NA,2019-06-01 01:53:35,TRUE,NA,"1134639094288355328",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AlkaliciousJB",0,FALSE,FALSE,"-76.08829","36.77874"
"4","Prayers for my City and the families of the victims. #virginiabeach #prayersforvirginiabeach @ City of Virginia Bea… https://t.co/9wLPDFqS8O",FALSE,0,NA,2019-05-31 22:59:16,TRUE,NA,"1134595227686264835",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","stephenpfeiffer",0,FALSE,FALSE,"-76.08829","36.77874"
"5","Join the Ulta Beauty team! See our latest #Cosmetology job openings, including ""Specialty Beauty Advisor"", via the… https://t.co/CbxHgerkTE",FALSE,0,NA,2019-05-31 21:52:41,TRUE,NA,"1134578471919792128",NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_orf_cosmo",0,FALSE,FALSE,"-76.0850394","36.7725167"
"6","Update:  We have reached 1/2 full!<U+2800>
<U+2800>
The 2nd Annual Iron Asylum Classic is back in the Iron Asylum Gym in Virginia… https://t.co/umAMKubI8r",FALSE,0,NA,2019-05-31 12:53:11,TRUE,NA,"1134442700990832642",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","jlayne3",1,FALSE,FALSE,"-76.03875875","36.77710027"
"7","Awesome job @RobynBacker getting the 3rd graders pumped for their final day of testing! They’re going to rock it! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>… https://t.co/6bI5IExQ7F",FALSE,2,NA,2019-05-31 12:42:49,TRUE,NA,"1134440091332546561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bowmantjvmi",1,FALSE,FALSE,NA,NA
"8","If jobs with titles like ""Brow Waxing Expert"" sound appealing to you, follow us to hear about these types of opport… https://t.co/kZWCunxw4K",FALSE,0,NA,2019-05-30 19:37:38,TRUE,NA,"1134182098045038592",NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_orf_cosmo",0,FALSE,FALSE,"-76.0850394","36.7725167"
"9","Working on that onion booty. Gonna make the whole <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> cry.... Never really record my workouts but I know it’s good so… https://t.co/Dw5vq7Erf3",FALSE,0,NA,2019-05-30 17:25:01,TRUE,NA,"1134148724261888001",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","UrSoInShane",0,FALSE,FALSE,"-76.03875875","36.77710027"
"10","Beer me... it’s summer y’all! @ Young Veterans Brewing Company https://t.co/unKNT06Lqa",FALSE,0,NA,2019-05-30 15:57:52,FALSE,NA,"1134126792279830533",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","YoungVetsBrew",0,FALSE,FALSE,"-76.05546","36.78635"
"11","Finally signed my contract so it's OFFICIAL!! I will be at Princess Anne Middle School as the Orchestra Director st… https://t.co/YL7bAH4c05",FALSE,109,NA,2019-05-30 08:08:35,TRUE,NA,"1134008690800037888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MannyHHernandez",7,FALSE,FALSE,NA,NA
"12","Nervous to apply for a job like ""Hair Stylist"" at Ulta Beauty? Apply even if you're not a 100% match. You might be… https://t.co/TtB9z26EG0",FALSE,0,NA,2019-05-29 20:41:47,TRUE,NA,"1133835850402320384",NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_orf_cosmo",0,FALSE,FALSE,"-76.0850394","36.7725167"
"13","Accident in #VirginiaBeach on Dam Neck Rd at Holland Rd #traffic https://t.co/nbYNxpCSYN",FALSE,0,NA,2019-05-29 20:26:17,FALSE,NA,"1133831951981449216",NA,"<a href=""http://www.sigalert.com/Map.asp?region=Norfolk"" rel=""nofollow"">TTN ORF traffic</a>","TotalTrafficORF",0,FALSE,FALSE,"-76.07912","36.78597"
"14","I have to admit that it take a lot of hyping myself up to get out of my car and walk into the gym. Everyone seems t… https://t.co/HlqSwfeGGW",FALSE,0,NA,2019-05-29 19:26:25,TRUE,NA,"1133816886515372032",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","UrSoInShane",0,FALSE,FALSE,"-76.03875875","36.77710027"
