"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Police activity in #VirginiaBeach on Princess Anne Rd Both NB/SB at Nimo Pkwy #traffic https://t.co/nbYNxpCSYN",FALSE,0,NA,2019-06-01 21:37:57,FALSE,NA,"1134937151634886661",NA,"<a href=""http://www.sigalert.com/Map.asp?region=Norfolk"" rel=""nofollow"">TTN ORF traffic</a>","TotalTrafficORF",0,FALSE,FALSE,"-76.061","36.7561"
"2","This nice young lady asked if she could write on my windows #vbstrong then the media came by and interviewed her. I… https://t.co/vG33Rp5XI4",FALSE,0,NA,2019-06-01 16:17:06,TRUE,NA,"1134856406266331136",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AFFORDABLEBONDS",0,FALSE,FALSE,"-76.05768","36.75089"
"3","And the only non-employee who lost their life Friday;

Herbert Snelling, a contractor who was at Public Utility obt… https://t.co/YtRXZ6xRel",FALSE,10,"errolbarnett",2019-06-01 13:50:01,TRUE,"1134818488416133120","1134819390304784384","34350419","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","errolbarnett",6,FALSE,FALSE,NA,NA
"4","Michelle “Missy” Langer, Administrative Assistant, 12 years at Public Utilities.

#LoveforVB https://t.co/ehoqR7MJGL",FALSE,7,"errolbarnett",2019-06-01 13:44:47,FALSE,"1134816907532673024","1134818075658735616","34350419","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","errolbarnett",8,FALSE,FALSE,NA,NA
"5","Joshua A. Hardy, Engineering Technician from VA Beach.

#LoveforVB https://t.co/zoOlUtkm3t",FALSE,9,"errolbarnett",2019-06-01 13:40:09,FALSE,"1134816412537675777","1134816907532673024","34350419","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","errolbarnett",8,FALSE,FALSE,NA,NA
"6","Ryan Keith Cox, Public Utilities account clerk.

#LoveforVB https://t.co/nfl12u6oEF",FALSE,15,"errolbarnett",2019-06-01 13:38:11,FALSE,"1134816113836077057","1134816412537675777","34350419","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","errolbarnett",11,FALSE,FALSE,NA,NA
"7","Katherine A. Nixon, an engineer who spent a decade at Public Utilities. https://t.co/f7lmUKTbmo",FALSE,9,"errolbarnett",2019-06-01 13:33:44,FALSE,"1134814965548879872","1134815295082848257","34350419","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","errolbarnett",9,FALSE,FALSE,NA,NA
"8","Alexander Mikhail Gusev, a 9-year employee of Public Works. https://t.co/m7MeVrdSBo",FALSE,7,"errolbarnett",2019-06-01 13:32:26,FALSE,"1134814538375847937","1134814965548879872","34350419","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","errolbarnett",8,FALSE,FALSE,NA,NA
"9","Here is the confirmed list of victims - police implore the public to honor their memory.

Laquita C. Brown of Chesa… https://t.co/OmV9RoXf0w",FALSE,19,"errolbarnett",2019-06-01 13:26:40,TRUE,"1134800839934119936","1134813515355762688","34350419","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","errolbarnett",19,FALSE,FALSE,NA,NA
"10","Police activity in #VirginiaBeach on Princess Anne Rd Both NB/SB at Nimo Pkwy #traffic https://t.co/nbYNxpCSYN",FALSE,0,NA,2019-06-01 09:33:19,FALSE,NA,"1134754788820889600",NA,"<a href=""http://www.sigalert.com/Map.asp?region=Norfolk"" rel=""nofollow"">TTN ORF traffic</a>","TotalTrafficORF",0,FALSE,FALSE,"-76.061","36.7561"
