"","Start","Stop","Number_of_Tweets"
"1",2019-05-29 09:31:25,2019-05-29 11:31:25,77
"2",2019-05-29 11:31:25,2019-05-29 13:31:25,83
"3",2019-05-29 13:31:25,2019-05-29 15:31:25,132
"4",2019-05-29 15:31:25,2019-05-29 17:31:25,145
"5",2019-05-29 17:31:25,2019-05-29 19:31:25,145
"6",2019-05-29 19:31:25,2019-05-29 21:31:25,151
"7",2019-05-29 21:31:25,2019-05-29 23:31:25,132
"8",2019-05-29 23:31:25,2019-05-30 01:31:25,179
"9",2019-05-30 01:31:25,2019-05-30 03:31:25,174
"10",2019-05-30 03:31:25,2019-05-30 05:31:25,80
"11",2019-05-30 05:31:25,2019-05-30 07:31:25,25
"12",2019-05-30 07:31:25,2019-05-30 09:31:25,17
"13",2019-05-30 09:31:25,2019-05-30 11:31:25,68
"14",2019-05-30 11:31:25,2019-05-30 13:31:25,108
"15",2019-05-30 13:31:25,2019-05-30 15:31:25,123
"16",2019-05-30 15:31:25,2019-05-30 17:31:25,162
"17",2019-05-30 17:31:25,2019-05-30 19:31:25,136
"18",2019-05-30 19:31:25,2019-05-30 21:31:25,154
"19",2019-05-30 21:31:25,2019-05-30 23:31:25,139
"20",2019-05-30 23:31:25,2019-05-31 01:31:25,196
"21",2019-05-31 01:31:25,2019-05-31 03:31:25,200
"22",2019-05-31 03:31:25,2019-05-31 05:31:25,125
"23",2019-05-31 05:31:25,2019-05-31 07:31:25,25
"24",2019-05-31 07:31:25,2019-05-31 09:31:25,12
"25",2019-05-31 09:31:25,2019-05-31 11:31:25,67
"26",2019-05-31 11:31:25,2019-05-31 13:31:25,97
"27",2019-05-31 13:31:25,2019-05-31 15:31:25,163
"28",2019-05-31 15:31:25,2019-05-31 17:31:25,182
"29",2019-05-31 17:31:25,2019-05-31 19:31:25,158
"30",2019-05-31 19:31:25,2019-05-31 21:31:25,172
"31",2019-05-31 21:31:25,2019-05-31 23:31:25,292
"32",2019-05-31 23:31:25,2019-06-01 01:31:25,289
"33",2019-06-01 01:31:25,2019-06-01 03:31:25,288
"34",2019-06-01 03:31:25,2019-06-01 05:31:25,142
"35",2019-06-01 05:31:25,2019-06-01 07:31:25,65
"36",2019-06-01 07:31:25,2019-06-01 09:31:25,38
"37",2019-06-01 09:31:25,2019-06-01 11:31:25,92
"38",2019-06-01 11:31:25,2019-06-01 13:31:25,215
"39",2019-06-01 13:31:25,2019-06-01 15:31:25,208
"40",2019-06-01 15:31:25,2019-06-01 17:31:25,135
"41",2019-06-01 17:31:25,2019-06-01 19:31:25,199
"42",2019-06-01 19:31:25,2019-06-01 21:31:25,177
"43",2019-06-01 21:31:25,2019-06-02 00:00:00,204
