"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3",3,"Tokens of peace and prayer at the Va Beach shooting tragedy #vbstong @ City of Virginia Beach https://t.co/0PmNyiDLok",FALSE,0,NA,"2019-06-01 22:46:27",FALSE,NA,1134954387309305856,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AlejoMediaLLC",0,FALSE,FALSE,-76.05605364,36.75023234
"5",5,"Again with the double anchor set up. nbcnews msnbc #vabeachshooting @ City of Virginia Beach https://t.co/Ykw7ECa9MX",FALSE,0,NA,"2019-06-01 22:06:30",FALSE,NA,1134944334904606720,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Alhenkel",1,FALSE,FALSE,-76.05605364,36.75023234
"8",8,"Twelve people were shot and killed at a Municipal Center in Virginia Beach yesterday. 11 of those killed were civil… https://t.co/Z9kTGj25x0",FALSE,1,NA,"2019-06-01 20:36:27",TRUE,NA,1134921671670939648,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BCC4GunControl",0,FALSE,FALSE,-76.05605364,36.75023234
"9",9,"From top left to right:

Laquita C. Brown, Tara Welch Gallagher, Mary Louise Gayle, Alexander Mikhail Gusev, Richar… https://t.co/NivshMDs4P",FALSE,2,NA,"2019-06-01 20:17:57",TRUE,NA,1134917019013451776,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","UlyssesBurley",0,FALSE,FALSE,-76.05556142,36.75092133
"10",10,"We are praying for the city of Virgina Beach our home away from home <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD> @ City of Virginia Beach https://t.co/JCK6FVPbv2",FALSE,0,NA,"2019-06-01 18:23:50",FALSE,NA,1134888298466422784,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BansheeApparel",0,FALSE,FALSE,-76.05605364,36.75023234
"11",11,"#tribute #vabeachshooting @ City of Virginia Beach https://t.co/fJbAS2kqvN",FALSE,0,NA,"2019-06-01 16:19:08",FALSE,NA,1134856919326306304,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Alhenkel",0,FALSE,FALSE,-76.05605364,36.75023234
"13",13,"Live tv goes on and on #vabeachshooting msnbc msnbc @ City of Virginia Beach https://t.co/tQJsK2aEEv",FALSE,0,NA,"2019-06-01 16:04:40",FALSE,NA,1134853276221026304,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Alhenkel",0,FALSE,FALSE,-76.05605364,36.75023234
"25",25,"The circus has arrived. @ City of Virginia Beach https://t.co/kh8lpNl5vw",FALSE,0,NA,"2019-06-01 10:37:55",FALSE,NA,1134771048375885824,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Alhenkel",0,FALSE,FALSE,-76.05605364,36.75023234
"26",26,"Dual anchor set up. nbcnews msnbc @ City of Virginia Beach https://t.co/dfsadsVndp",FALSE,1,NA,"2019-06-01 09:50:59",FALSE,NA,1134759234761977856,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Alhenkel",0,FALSE,FALSE,-76.05605364,36.75023234
"28",28,"Securing the scene. #vabeachshooting @ City of Virginia Beach https://t.co/4KjMRKt294",FALSE,0,NA,"2019-06-01 09:29:44",FALSE,NA,1134753889369149440,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Alhenkel",0,FALSE,FALSE,-76.05605364,36.75023234
"29",29,"#vabeachshooting morning scene nbcnews msnbc @ City of Virginia Beach https://t.co/ddfVETGTw4",FALSE,0,NA,"2019-06-01 09:22:08",FALSE,NA,1134751976829399040,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Alhenkel",0,FALSE,FALSE,-76.05605364,36.75023234
"30",30,"Mass devastating Day   There’s no words    Pray for their love ones n families. @ City of Virginia Beach https://t.co/GZEs6nTENj",FALSE,0,NA,"2019-06-01 09:09:00",FALSE,NA,1134748672770609152,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ELKSKEN",0,FALSE,FALSE,-76.05605364,36.75023234
"33",33,"Yet another #massviolence incident in our country.  This time 12 dead, more wounded, and officers down.  The report… https://t.co/bliUHIVTn1",FALSE,0,NA,"2019-06-01 05:15:08",TRUE,NA,1134689818875703296,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Carolina_Tac",0,FALSE,FALSE,-76.0555744,36.75070377
"35",35,"MASS SHOOTING: 12 people are dead after a longtime city employee opened fire at a municipal building in… https://t.co/wU2dwLuDlY",FALSE,1,NA,"2019-06-01 02:25:15",TRUE,NA,1134647062950055936,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ABC7Chicago",4,FALSE,FALSE,-76.05605364,36.75023234
"36",36,"<ed><U+00A0><U+00BD><ed><U+00BA><U+00A8> <ed><U+00A0><U+00BD><ed><U+00B3><U+00BD> 
#BreakingNews #virginiabeach
#massshooting

A longtime city employee shot and killed 12 people and injured fou… https://t.co/QkG3lHHnLY",FALSE,0,NA,"2019-06-01 02:24:30",TRUE,NA,1134646876928479232,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prettiboient",0,FALSE,FALSE,-76.05605364,36.75023234
"37",37,"My heart is heavy for my hometown tonight. Wishing peace for the families of the 11 whose lives were senselessly ta… https://t.co/YAbgOUE8B0",FALSE,0,NA,"2019-06-01 01:50:18",TRUE,NA,1134638266836295680,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JuanaCupcake",0,FALSE,FALSE,-76.05605364,36.75023234
"45",45,"I'm at Voter Registrar's Office - Municipal Center in Virginia Beach, VA https://t.co/LO9WlfwbIP",FALSE,0,NA,"2019-05-31 17:08:36",FALSE,NA,1134506977823010816,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","raggiesoft",0,FALSE,FALSE,-76.05690527,36.75275444
"49",49,"Awesome job @RobynBacker getting the 3rd graders pumped for their final day of testing! They’re going to rock it! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>… https://t.co/6bI5IExQ7F",FALSE,2,NA,"2019-05-31 12:42:49",TRUE,NA,1134440091332546560,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bowmantjvmi",1,FALSE,FALSE,NA,NA
